UT Start,Parallactic Angle (deg),Hour Angle (deg),Altitude (deg)
10:00:00,2.856658787042705,357.15692670348903,20.735089777596908
10:10:00,0.33783586877719635,359.6637714768661,20.73598726703139
10:20:00,-2.1809903308700895,2.170616250243076,20.735469390253847
10:30:00,-4.69979535285749,4.6774610236201175,20.7335371529913
10:40:00,-7.218554789017636,7.184305796997106,20.7301943075904
10:50:00,-9.737244340635703,9.69115057037412,20.725447345396727
11:00:00,-12.255839876638966,12.197995343751135,20.719305483574566
11:10:00,-14.774317491193527,14.70484011712815,20.71178064639889
11:20:00,-17.292653560505926,17.211684890505193,20.702887441064604
11:30:00,-19.810824798632556,19.71852966388218,20.692643128071197
11:40:00,-22.32880831210596,22.225374437259195,20.681067586253672
11:50:00,-24.846581653192608,24.732219210636238,20.66818327254346
12:00:00,-27.364122871606142,27.239063984013224,20.654015176554985
12:10:00,-29.881410564508236,29.745908757390215,20.638590770105687
12:20:00,-32.39842392463814,32.25275353076728,20.6219399517887
12:30:00,-34.91514278642357,34.75959830414427,20.604094986728416
12:40:00,-37.43154766993709,37.26644307752126,20.585090441659794
12:50:00,-39.947619822571895,39.7732878508983,20.564963115482335
13:00:00,-42.46334125832556,42.28013262427529,20.543751965449125
13:10:00,-44.9786947945927,44.7869773976523,20.521498029160366
13:20:00,-47.49366408637879,47.29382217102935,20.49824434253922
13:30:00,-50.00823365786358,49.80066694440636,20.474035853975494
13:40:00,-52.52238893125417,52.30751171778338,20.448919334830016
13:50:00,-55.03611625288182,54.81435649116039,20.422943286499045
14:00:00,-57.54940291651053,57.32120126453741,20.39615784424394
14:10:00,-60.06223718383853,59.82804603791442,20.368614677996806
14:20:00,-62.57460830218698,62.33489081129144,20.340366890357373
14:30:00,-65.08650651938275,64.8417355846684,20.311468912000564
14:40:00,-67.5979230958558,67.34858035804547,20.28197639471755
14:50:00,-70.10885031398111,69.85542513142248,20.251946102316108
15:00:00,-72.61928148471002,72.36226990479945,20.221435799608308
